Time: 2025-08-13 02:12:19 | Price: 119252.935
Time: 2025-08-13 02:12:30 | Price: 119280.175
Time: 2025-08-13 02:22:21 | Price: 119228.125
Time: 2025-08-13 02:22:33 | Price: 119267.985
Time: 2025-08-13 02:22:44 | Price: 119257.435
Time: 2025-08-13 02:22:55 | Price: 119233.575
Time: 2025-08-13 02:23:07 | Price: 119249.935
Time: 2025-08-13 08:16:29 | Price: 119742.615
Time: 2025-08-13 08:16:41 | Price: 119712.21
Time: 2025-08-13 08:16:52 | Price: 119749.55
Time: 2025-08-13 08:17:03 | Price: 119749.55
Time: 2025-08-13 08:17:15 | Price: 119747.485
Time: 2025-08-13 08:17:26 | Price: 119717.945
Time: 2025-08-13 08:17:38 | Price: 119717.945
Time: 2025-08-13 08:17:49 | Price: 119728.26
Time: 2025-08-13 08:18:00 | Price: 119770.975
Time: 2025-08-13 08:18:11 | Price: 119770.975
Time: 2025-08-13 08:18:22 | Price: 119719.415
Time: 2025-08-13 08:18:33 | Price: 119719.415
Time: 2025-08-13 08:18:44 | Price: 119711.025
Time: 2025-08-13 08:18:55 | Price: 119705.005
Time: 2025-08-13 20:10:33 | Price: 122884.855
Time: 2025-08-13 20:10:45 | Price: 122884.855
Time: 2025-08-13 20:10:56 | Price: 122892.595
Time: 2025-08-13 20:11:07 | Price: 122878.595
Time: 2025-08-13 20:11:19 | Price: 122826.665
Time: 2025-08-13 20:11:30 | Price: 122802.915
