Time: 2025-08-13 02:12:20 | Price: 6445.76
Time: 2025-08-13 02:12:32 | Price: 6445.76
Time: 2025-08-13 02:22:23 | Price: 6445.76
Time: 2025-08-13 02:22:34 | Price: 6445.76
Time: 2025-08-13 02:22:45 | Price: 6445.76
Time: 2025-08-13 02:22:56 | Price: 6445.76
Time: 2025-08-13 02:23:08 | Price: 6445.76
Time: 2025-08-13 08:16:31 | Price: 6445.76
Time: 2025-08-13 08:16:42 | Price: 6445.76
Time: 2025-08-13 08:16:53 | Price: 6445.76
Time: 2025-08-13 08:17:05 | Price: 6445.76
Time: 2025-08-13 08:17:16 | Price: 6445.76
Time: 2025-08-13 08:17:27 | Price: 6445.76
Time: 2025-08-13 08:17:39 | Price: 6445.76
Time: 2025-08-13 08:17:50 | Price: 6445.76
Time: 2025-08-13 08:18:01 | Price: 6445.76
Time: 2025-08-13 08:18:12 | Price: 6445.76
Time: 2025-08-13 08:18:23 | Price: 6445.76
Time: 2025-08-13 08:18:34 | Price: 6445.76
Time: 2025-08-13 08:18:45 | Price: 6445.76
Time: 2025-08-13 08:18:57 | Price: 6445.76
Time: 2025-08-13 20:10:35 | Price: 6466.58
Time: 2025-08-13 20:10:46 | Price: 6466.58
Time: 2025-08-13 20:10:57 | Price: 6466.58
Time: 2025-08-13 20:11:08 | Price: 6466.58
Time: 2025-08-13 20:11:20 | Price: 6466.58
Time: 2025-08-13 20:11:31 | Price: 6466.58
